"","Var1","Var2","Freq"
"1","<18.5","18-49",18753
"2","18.5-24.9","18-49",217886
"3","25-29.9","18-49",1188635
"4","30-39.9","18-49",170045
"5","40+","18-49",39105
"6","<18.5","50-64",5811
"7","18.5-24.9","50-64",93801
"8","25-29.9","50-64",692170
"9","30-39.9","50-64",192959
"10","40+","50-64",36611
"11","<18.5","65-79",6518
"12","18.5-24.9","65-79",91756
"13","25-29.9","65-79",423434
"14","30-39.9","65-79",164284
"15","40+","65-79",20625
"16","<18.5","80+",5115
"17","18.5-24.9","80+",52685
"18","25-29.9","80+",124650
"19","30-39.9","80+",41132
"20","40+","80+",2365
